file_name, found_object, number_of_objects, center_position (x;y), orïentation (deg), color
Image_Yellow (107).jpg,check valve,1,"(1557, 2635)",57.5292854309082,metal
Image_Yellow (107).jpg,bolt,1,"(1232, 2331)",85.94071960449219,black
Image_Yellow (107).jpg,bolt,1,"(1984, 2274)",131.2506866455078,metal
Image_Yellow (107).jpg,bolt,1,"(2216, 2192)",5.286256790161133,metal
Image_Yellow (107).jpg,bolt,1,"(2677, 2167)",7.213109493255615,black
Image_Yellow (107).jpg,bolt,1,"(1628, 2112)",124.0678939819336,metal
Image_Yellow (107).jpg,bolt,1,"(742, 1999)",84.03057098388672,pink
Image_Yellow (107).jpg,ring,1,"(1831, 1855)",122.1396484375,metal
Image_Yellow (107).jpg,bolt,1,"(2432, 1834)",3.03873872756958,metal
Image_Yellow (107).jpg,bolt,1,"(2081, 1747)",141.11383056640625,metal
Image_Yellow (107).jpg,bolt,1,"(1536, 1809)",111.4422836303711,pink
Image_Yellow (107).jpg,bolt,1,"(358, 1645)",84.25942993164062,black
Image_Yellow (107).jpg,bolt,1,"(905, 1659)",165.1542205810547,metal
Image_Yellow (107).jpg,bolt,1,"(1778, 1468)",114.11132049560547,metal
Image_Yellow (107).jpg,check valve,1,"(1362, 1412)",36.27338409423828,metal
Image_Yellow (107).jpg,ring,1,"(2554, 1360)",127.18743133544922,metal
Image_Yellow (107).jpg,bolt,1,"(2089, 1329)",109.28792572021484,metal
Image_Yellow (107).jpg,nut,1,"(1063, 1229)",105.78726196289062,metal
Image_Yellow (107).jpg,ring,1,"(254, 1237)",86.53548431396484,metal
Image_Yellow (107).jpg,bolt,1,"(719, 1214)",137.8616943359375,black
Image_Yellow (107).jpg,bolt,1,"(843, 1062)",103.83495330810547,metal
Image_Yellow (107).jpg,check valve,1,"(2192, 1043)",175.02174377441406,metal
Image_Yellow (107).jpg,ring,1,"(2502, 1079)",122.05317687988281,metal
Image_Yellow (107).jpg,check valve,1,"(1550, 894)",120.90191650390625,metal
Image_Yellow (107).jpg,bolt,1,"(2720, 980)",151.1470947265625,metal
Image_Yellow (107).jpg,ring,1,"(1893, 757)",120.1207504272461,metal
Image_Yellow (107).jpg,bolt,1,"(1889, 923)",59.10768127441406,metal
Image_Yellow (107).jpg,ring,1,"(778, 738)",98.90802764892578,metal
Image_Yellow (107).jpg,bolt,1,"(2653, 601)",79.94570922851562,metal
Image_Yellow (107).jpg,check valve,1,"(1626, 530)",120.29871368408203,metal
Image_Yellow (107).jpg,bolt,1,"(1247, 636)",27.824798583984375,metal
Image_Yellow (107).jpg,nut,1,"(2255, 366)",114.13102722167969,metal
Image_Yellow (107).jpg,bolt,1,"(1942, 230)",145.2179412841797,black
Image_Yellow (107).jpg,bolt,1,"(1596, 259)",124.94051361083984,metal
Image_Yellow (12).jpg,bolt,1,"(1242, 2683)",9.967893600463867,metal
Image_Yellow (12).jpg,check valve,1,"(1773, 2632)",49.20310592651367,black
Image_Yellow (12).jpg,bolt,1,"(2308, 2544)",33.09429931640625,metal
Image_Yellow (12).jpg,bolt,1,"(894, 2281)",37.79085159301758,metal
Image_Yellow (12).jpg,nut,1,"(2104, 2208)",116.33060455322266,metal
Image_Yellow (12).jpg,bolt,1,"(1559, 2218)",124.95081329345703,metal
Image_Yellow (12).jpg,bolt,1,"(2285, 2080)",167.88919067382812,metal
Image_Yellow (12).jpg,bolt,1,"(620, 2076)",23.64275550842285,black
Image_Yellow (12).jpg,bolt,1,"(2693, 1959)",78.43080139160156,black
Image_Yellow (12).jpg,bolt,1,"(1861, 1860)",115.25797271728516,metal
